timestamp,leader_x,leader_y,leader_velocity,leader_acceleration,leader_curvature,follower_x,follower_y,follower_velocity,follower_acceleration,desired_distance,actual_distance,distance_error,z1,z2,z3,z4,commanded_accel,commanded_velocity,commanded_angular
3487199978.581375,0.108525,0.035688,0.000000,0.000000,0.000000,-1.094995,0.065798,-0.047458,0.357092,1.238136,1.203896,-0.034239,-0.029561,0.081653,0.047264,-0.004284,0.042586,-0.053325,0.063524
3487199978.619699,0.108525,0.035688,0.000000,0.000000,0.000000,-1.095486,0.065839,-0.048533,0.084168,1.237867,1.204388,-0.033478,-0.028817,0.081427,0.048335,-0.004375,0.049975,-0.052325,0.063414
3487199978.659698,0.108525,0.035688,0.000000,0.000000,0.000000,-1.096452,0.065913,-0.047554,0.085188,1.238111,1.205356,-0.032755,-0.028121,0.081084,0.047361,-0.004275,0.049030,-0.051345,0.063183
3487199978.699698,0.108525,0.035688,0.000000,0.000000,0.000000,-1.097394,0.066000,-0.045541,0.157381,1.238615,1.206300,-0.032315,-0.027704,0.080772,0.045358,-0.004084,0.042820,-0.050488,0.062943
3487199978.739617,0.108525,0.035688,0.000000,0.000000,0.000000,-1.098317,0.066077,-0.047328,-0.131689,1.238168,1.207225,-0.030944,-0.026361,0.080389,0.047138,-0.004234,0.055523,-0.049378,0.062760
3487199978.779759,0.108525,0.035688,0.000000,0.000000,0.000000,-1.099223,0.066151,-0.045195,0.213311,1.238701,1.208132,-0.030569,-0.026010,0.080093,0.045014,-0.004034,0.048562,-0.048407,0.062527
3487199978.819684,0.108525,0.035688,0.000000,0.000000,0.000000,-1.100112,0.066228,-0.044389,0.129630,1.238903,1.209023,-0.029880,-0.025343,0.079788,0.044213,-0.003953,0.048165,-0.047443,0.062325
3487199978.859771,0.108525,0.035688,0.000000,0.000000,0.000000,-1.100987,0.066298,-0.045912,-0.234242,1.238522,1.209899,-0.028623,-0.024112,0.079431,0.045730,-0.004079,0.059350,-0.046256,0.062151
3487199978.899784,0.108525,0.035688,0.000000,0.000000,0.000000,-1.101838,0.066381,-0.042616,0.302391,1.239346,1.210752,-0.028594,-0.024102,0.079189,0.042448,-0.003778,0.046350,-0.045329,0.061920
3487199978.940223,0.108525,0.035688,0.000000,0.000000,0.000000,-1.102672,0.066463,-0.043079,-0.195334,1.239230,1.211588,-0.027642,-0.023174,0.078866,0.042910,-0.003811,0.052076,-0.044288,0.061737
3487199978.979769,0.108525,0.035688,0.000000,0.000000,0.000000,-1.103486,0.066539,-0.040764,-0.189973,1.239809,1.212403,-0.027406,-0.022956,0.078619,0.040605,-0.003599,0.043825,-0.043411,0.061530
3487199979.022597,0.108525,0.035688,0.000000,0.000000,0.000000,-1.104285,0.066598,-0.040386,-0.017214,1.239904,1.213203,-0.026700,-0.022273,0.078327,0.040229,-0.003558,0.045195,-0.042508,0.061343
3487199979.059612,0.108525,0.035688,0.000000,0.000000,0.000000,-1.105064,0.066669,-0.038687,0.058490,1.240328,1.213985,-0.026344,-0.021932,0.078111,0.038537,-0.003403,0.039877,-0.041710,0.061176
3487199979.099924,0.108525,0.035688,0.000000,0.000000,0.000000,-1.105828,0.066732,-0.037883,0.127674,1.240529,1.214749,-0.025780,-0.021389,0.077846,0.037736,-0.003325,0.038974,-0.040930,0.060997
3487199979.141002,0.108525,0.035688,0.000000,0.000000,0.000000,-1.106203,0.066769,-0.037186,0.075720,1.240703,1.215125,-0.025578,-0.021195,0.077725,0.037043,-0.003261,0.037026,-0.040190,0.060907
3487199979.182746,0.108525,0.035688,0.000000,0.000000,0.000000,-1.107306,0.066855,-0.037374,-0.003428,1.240657,1.216230,-0.024427,-0.020072,0.077333,0.037231,-0.003268,0.042461,-0.039341,0.060679
3487199979.219606,0.108525,0.035688,0.000000,0.000000,0.000000,-1.107662,0.066887,-0.032925,0.317329,1.241769,1.216587,-0.025182,-0.020832,0.077303,0.032799,-0.002877,0.021672,-0.038907,0.060548
3487199979.260064,0.108525,0.035688,0.000000,0.000000,0.000000,-1.108721,0.066971,-0.036652,-0.159691,1.240837,1.217648,-0.023189,-0.018871,0.076844,0.036513,-0.003194,0.044628,-0.038015,0.060368
3487199979.299757,0.108525,0.035688,0.000000,0.000000,0.000000,-1.109412,0.067028,-0.035693,-0.015780,1.241077,1.218340,-0.022736,-0.018435,0.076619,0.035558,-0.003105,0.042653,-0.037162,0.060210
3487199979.340310,0.108525,0.035688,0.000000,0.000000,0.000000,-1.110084,0.067102,-0.032193,0.090998,1.241952,1.219014,-0.022938,-0.018645,0.076499,0.032072,-0.002797,0.027886,-0.036604,0.060058
3487199979.379639,0.108525,0.035688,0.000000,0.000000,0.000000,-1.110747,0.067160,-0.033183,0.028089,1.241704,1.219678,-0.022026,-0.017752,0.076243,0.033058,-0.002879,0.035539,-0.035893,0.059930
3487199979.420381,0.108525,0.035688,0.000000,0.000000,0.000000,-1.111396,0.067205,-0.031484,0.206657,1.242129,1.220328,-0.021801,-0.017540,0.076074,0.031366,-0.002727,0.029684,-0.035300,0.059792
3487199979.459780,0.108525,0.035688,0.000000,0.000000,0.000000,-1.112032,0.067271,-0.031904,0.097285,1.242024,1.220966,-0.021058,-0.016812,0.075849,0.031785,-0.002760,0.034380,-0.034612,0.059669
3487199979.500023,0.108525,0.035688,0.000000,0.000000,0.000000,-1.112653,0.067325,-0.029772,-0.082118,1.242557,1.221587,-0.020970,-0.016734,0.075716,0.029660,-0.002572,0.026236,-0.034087,0.059544
3487199979.541581,0.108525,0.035688,0.000000,0.000000,0.000000,-1.112961,0.067351,-0.032103,-0.257315,1.241974,1.221896,-0.020078,-0.015851,0.075566,0.031984,-0.002772,0.039150,-0.033304,0.059514
